AmbulanceR,BikeAge,BikeAlcFlg,BikeDir,BikeInjury,BikeSex,City,County,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashMonth,CrashType,CrashYear,DrvrAge,DrvrAlcFlg,DrvrInjury,DrvrSex,DrvrVehTyp,HitRun,Latitude,Longitude,RdConditio,SpeedLimit,TraffCntrl,Weather,Workzone,DrvrAgeImputedFlag,BikeAgeImputedFlag,MonthCode
Yes,28.0,No,Facing Traffic,C: Possible Injury,Male,Wilmington,New Hanover,No,Monday,Motorist Failed to Yield - Sign-Controlled Intersection,16.0,July,Motorist Drive Out - Sign-Controlled Intersection,2010,28.0,Unknown,Unknown Injury,Male,Passenger Car,Yes,34.23821066,-77.89483295,Dry,20 - 25  MPH,No Control Present,Cloudy,No,0,0,7
Yes,55.0,No,With Traffic,B: Suspected Minor Injury,Female,Wilmington,New Hanover,No,Thursday,Bicyclist Failed to Yield - Signalized Intersection,14.0,July,Bicyclist Ride Through - Signalized Intersection,2010,50.0,No,O: No Injury,Female,Van,No,34.23872813,-77.8283788,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,0,0,7
Yes,49.0,No,With Traffic,B: Suspected Minor Injury,Male,Selma,Johnston,No,Thursday,Motorist Overtaking Bicyclist,8.0,July,Motorist Overtaking - Misjudged Space,2010,24.0,No,O: No Injury,Female,Sport Utility,No,35.51651369,-78.29676696,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
No,10.0,No,Not Applicable,Unknown Injury,Male,Durham,Durham,No,Saturday,Bicyclist Failed to Yield - Midblock,16.0,July,Bicyclist Ride Out - Other Midblock,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.93679914,-78.89965216,Dry,5 - 15 MPH,No Control Present,Clear,No,1,0,7
Yes,52.0,Yes,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,Yes,Sunday,Motorist Overtaking Bicyclist,8.0,July,Motorist Overtaking - Misjudged Space,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.26538726,-80.88387557,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,7
Yes,32.52649525389365,No,Facing Traffic,B: Suspected Minor Injury,Male,Statesville,Iredell,No,Tuesday,Bicyclist Right Turn / Merge,22.0,July,Bicyclist Right Turn - Opposite Direction,2010,19.0,No,O: No Injury,Male,Passenger Car,No,35.79818704,-80.83235407,Dry,Unknown,No Control Present,Clear,No,0,1,7
No,16.0,No,With Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Sunday,Motorist Left Turn / Merge,16.0,March,Motorist Left Turn - Opposite Direction,2009,44.0,No,O: No Injury,Female,Passenger Car,Yes,35.21068,-80.90493,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,3
Yes,50.0,No,With Traffic,A: Suspected Serious Injury,Male,Charlotte,Mecklenburg,No,Friday,Motorist Right Turn / Merge,12.0,March,Motorist Right Turn - Same Direction,2009,39.0,No,O: No Injury,Male,Sport Utility,No,35.15543,-80.74819,Wet,40 - 45  MPH,Stop Sign,Rain,No,0,0,3
No,35.0,Yes,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,Yes,Sunday,Motorist Overtaking Bicyclist,20.0,March,Motorist Overtaking - Bicyclist Swerved,2009,30.0,No,O: No Injury,Male,Passenger Car,No,35.246716,-80.7524,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,3
Yes,21.0,No,Not Applicable,C: Possible Injury,Male,Durham,Durham,No,Thursday,Non-Roadway,17.0,July,Non-Roadway,2010,49.0,No,O: No Injury,Female,Passenger Car,No,35.95209813,-78.90090667,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,7
Yes,61.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Durham,Durham,No,Friday,Motorist Failed to Yield - Signalized Intersection,20.0,July,Motorist Drive Out - Right Turn on Red,2010,25.0,No,O: No Injury,Male,Pickup,No,35.98614439,-78.89868298,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,7
No,21.0,No,Facing Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Friday,Motorist Failed to Yield - Sign-Controlled Intersection,19.0,July,Motorist Drive Out - Sign-Controlled Intersection,2010,32.0,No,O: No Injury,Female,Passenger Car,No,35.78349169,-78.65668308,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,7
Yes,50.0,No,With Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,Yes,Sunday,Motorist Overtaking Bicyclist,9.0,July,Motorist Overtaking - Misjudged Space,2010,51.0,Yes,O: No Injury,Male,Passenger Car,Yes,35.83578701,-78.56943553,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
No,47.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Sunday,Motorist Left Turn / Merge,20.0,July,Motorist Left Turn - Opposite Direction,2010,35.0,No,O: No Injury,Female,Passenger Car,Yes,35.76813847,-78.62271076,Dry,20 - 25  MPH,Stop Sign,Clear,No,0,0,7
Yes,30.0,No,Facing Traffic,C: Possible Injury,Female,Raleigh,Wake,No,Monday,Crossing Paths - Other Circumstances,17.0,June,Crossing Paths - Intersection - Other / Unknown,2010,33.0,No,O: No Injury,Female,Passenger Car,No,35.85001661,-78.58074967,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,0,0,6
No,24.0,No,With Traffic,O: No Injury,Male,Raleigh,Wake,No,Wednesday,Motorist Left Turn / Merge,16.0,June,Motorist Left Turn - Opposite Direction,2010,60.0,No,O: No Injury,Female,Passenger Car,No,35.7890565,-78.66236065,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,6
Yes,50.0,Yes,Facing Traffic,B: Suspected Minor Injury,Male,Salisbury,Rowan,Yes,Thursday,Motorist Failed to Yield - Sign-Controlled Intersection,17.0,July,Motorist Drive Out - Sign-Controlled Intersection,2010,24.0,No,O: No Injury,Female,Passenger Car,No,35.64688426,-80.45821391,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,7
Yes,21.0,No,With Traffic,B: Suspected Minor Injury,Female,Raleigh,Wake,No,Monday,Motorist Overtaking Bicyclist,21.0,June,Motorist Overtaking - Misjudged Space,2010,22.0,No,O: No Injury,Female,Passenger Car,No,35.75987777,-78.7283232,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,6
Yes,40.0,Yes,With Traffic,B: Suspected Minor Injury,Male,Kitty Hawk,Dare,Yes,Saturday,Bicyclist Left Turn / Merge,21.0,June,Bicyclist Left Turn - Opposite Direction,2010,18.0,No,O: No Injury,Male,Sport Utility,No,36.07344796,-75.69810062,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,6
No,7.0,No,Not Applicable,B: Suspected Minor Injury,Male,Kitty Hawk,Dare,No,Sunday,Bicyclist Failed to Yield - Midblock,18.0,June,Bicyclist Ride Out - Residential Driveway,2010,21.0,No,O: No Injury,Female,Pickup,No,36.05923695,-75.7308948,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,6
Yes,19.0,No,Facing Traffic,B: Suspected Minor Injury,Female,Kitty Hawk,Dare,No,Monday,Motorist Failed to Yield - Midblock,15.0,June,Motorist Drive Out - Commercial Driveway / Alley,2010,18.0,No,O: No Injury,Male,Sport Utility,No,36.08876525,-75.7074457,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,6
Yes,15.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Pasquotank,No,Tuesday,Bicyclist Left Turn / Merge,9.0,July,Bicyclist Left Turn - Same Direction,2010,18.0,No,O: No Injury,Male,Passenger Car,No,36.27995963,-76.2601342,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,7
Yes,49.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Stokes,No,Friday,Motorist Overtaking Bicyclist,7.0,July,Motorist Overtaking - Other / Unknown,2010,51.0,No,O: No Injury,Female,Sport Utility,No,36.2843591,-80.39064093,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,7
No,32.0,No,With Traffic,C: Possible Injury,Male,Raleigh,Wake,No,Saturday,Motorist Overtaking Bicyclist,0.0,May,Motorist Overtaking - Other / Unknown,2010,31.0,No,O: No Injury,Male,Sport Utility,No,35.79525773,-78.70678118,"Water (Standing, Moving)",30 - 35  MPH,No Control Present,Rain,No,0,0,5
Yes,51.0,No,Not Applicable,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,No,Thursday,Parallel Paths - Other Circumstances,18.0,July,Parallel Paths - Other / Unknown,2010,37.0,No,O: No Injury,Female,Van,No,35.09712724,-80.77788604,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
Yes,8.0,No,With Traffic,B: Suspected Minor Injury,Male,Troutman,Iredell,No,Thursday,Bicyclist Failed to Yield - Sign-Controlled Intersection,20.0,June,Bicyclist Ride Out - Sign-Controlled Intersection,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.69685383,-80.90065427,Dry,20 - 25  MPH,Stop Sign,Clear,No,1,0,6
Yes,14.0,No,With Traffic,A: Suspected Serious Injury,Male,None - Rural Crash,Durham,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16.0,July,Bicyclist Ride Through - Sign-Controlled Intersection,2010,34.0,No,O: No Injury,Male,Sport Utility,No,36.14149564,-78.96489056,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,7
Yes,17.0,No,With Traffic,A: Suspected Serious Injury,Male,Charlotte,Mecklenburg,No,Tuesday,Bicyclist Left Turn / Merge,11.0,July,Bicyclist Left Turn - Same Direction,2010,35.0,No,O: No Injury,Male,Passenger Car,No,35.2773953,-80.76615008,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
Yes,25.0,No,Unknown,B: Suspected Minor Injury,Female,Asheville,Buncombe,No,Wednesday,Motorist Left Turn / Merge,15.0,July,Motorist Left Turn - Opposite Direction,2010,42.03850604944766,Unknown,Unknown Injury,Unknown,Passenger Car,Yes,35.601427,-82.554776,Unknown,20 - 25  MPH,Stop Sign,Other,No,1,0,7
Yes,41.0,No,Facing Traffic,A: Suspected Serious Injury,Male,Charlotte,Mecklenburg,No,Wednesday,Motorist Failed to Yield - Midblock,11.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,28.0,No,O: No Injury,Male,Pickup,No,35.27515246,-80.79361311,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,7
Yes,62.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Lenoir,No,Thursday,Motorist Overtaking Bicyclist,6.0,July,Motorist Overtaking - Misjudged Space,2010,42.03850604944766,Unknown,Unknown Injury,Unknown,Unknown,Yes,35.30080199,-77.53417316,Dry,Unknown,No Control Present,Clear,No,1,0,7
Yes,40.0,No,With Traffic,B: Suspected Minor Injury,Female,None - Rural Crash,Surry,No,Friday,Motorist Left Turn / Merge,17.0,July,Motorist Left Turn - Opposite Direction,2010,78.0,No,O: No Injury,Female,Passenger Car,No,36.44127613,-80.64224122,Dry,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,7
Yes,47.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Johnston,No,Friday,Motorist Overtaking Bicyclist,19.0,July,Motorist Overtaking - Other / Unknown,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.52452534,-78.63152385,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,1,0,7
No,25.0,No,Facing Traffic,O: No Injury,Male,None - Rural Crash,Johnston,No,Thursday,Loss of Control / Turning Error,21.0,July,Motorist Lost Control - Other / Unknown,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Passenger Car,Yes,35.28817815,-78.45320966,Dry,50 - 55  MPH,No Control Present,Clear,No,1,0,7
No,9.0,No,Not Applicable,O: No Injury,Male,None - Rural Crash,Wake,No,Sunday,Bicyclist Failed to Yield - Midblock,15.0,August,Bicyclist Ride Out - Residential Driveway,2010,16.0,No,O: No Injury,Male,Pickup,No,35.92531815,-78.62632545,Dry,20 - 25  MPH,No Control Present,Cloudy,No,0,0,8
Yes,7.0,No,Facing Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Johnston,No,Thursday,Bicyclist Right Turn / Merge,18.0,July,Bicyclist Right Turn - Same Direction,2010,37.0,No,O: No Injury,Male,Pickup,No,35.43394687,-78.52863805,Dry,50 - 55  MPH,No Control Present,Clear,No,0,0,7
Yes,59.0,No,Facing Traffic,K: Killed,Male,None - Rural Crash,Davie,No,Saturday,Motorist Overtaking Bicyclist,18.0,July,Motorist Overtaking - Other / Unknown,2010,30.0,No,O: No Injury,Male,Pickup,No,35.95213692,-80.60872887,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,7
No,40.0,No,With Traffic,C: Possible Injury,Male,Wilson,Wilson,No,Thursday,Loss of Control / Turning Error,18.0,June,Motorist Turning Error - Left Turn,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.73017854,-77.89735986,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,6
Yes,59.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Catawba,No,Monday,Loss of Control / Turning Error,9.0,August,Motorist Lost Control - Other / Unknown,2010,37.0,No,O: No Injury,Female,Van,No,35.73756338,-81.16196367,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,8
Yes,19.0,No,With Traffic,A: Suspected Serious Injury,Female,Asheville,Buncombe,No,Friday,Motorist Left Turn / Merge,18.0,May,Motorist Left Turn - Opposite Direction,2010,32.0,No,O: No Injury,Male,Passenger Car,No,35.62027891,-82.554436,"Water (Standing, Moving)",30 - 35  MPH,Stop And Go Signal,Rain,No,0,0,5
Yes,24.0,No,With Traffic,C: Possible Injury,Male,Durham,Durham,No,Monday,Bicyclist Failed to Yield - Midblock,14.0,August,Bicyclist Ride Out - Commercial Driveway / Alley,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Passenger Car,Yes,35.99281925,-78.8658123,Dry,Unknown,No Control Present,Clear,No,1,0,8
Yes,34.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wake,No,Thursday,Motorist Left Turn / Merge,22.0,July,Motorist Left Turn - Opposite Direction,2010,35.0,No,O: No Injury,Male,Pickup,No,35.55554272,-78.72128488,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,7
Yes,43.0,No,With Traffic,B: Suspected Minor Injury,Male,Greensboro,Guilford,No,Tuesday,Motorist Overtaking Bicyclist,3.0,July,Motorist Overtaking - Other / Unknown,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,36.04805824,-79.83612813,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,7
Yes,7.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Richmond,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19.0,July,Bicyclist Ride Through - Sign-Controlled Intersection,2010,51.0,No,O: No Injury,Male,Passenger Car,No,34.95563811,-79.72918235,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,7
Yes,15.0,No,Not Applicable,C: Possible Injury,Male,Raleigh,Wake,No,Tuesday,Motorist Failed to Yield - Midblock,12.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,50.0,No,O: No Injury,Male,Pickup,No,35.8511456,-78.6145883,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,7
Yes,12.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Hoke,No,Saturday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18.0,July,Bicyclist Ride Through - Sign-Controlled Intersection,2010,25.0,No,O: No Injury,Female,Sport Utility,No,34.98725169,-79.16546414,Dry,40 - 45  MPH,No Control Present,Cloudy,No,0,0,7
No,52.0,Yes,With Traffic,O: No Injury,Male,None - Rural Crash,Currituck,Yes,Monday,Bicyclist Left Turn / Merge,20.0,August,Bicyclist Left Turn - Same Direction,2010,30.0,No,O: No Injury,Female,Passenger Car,No,36.25422342,-75.88190596,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,8
Yes,56.0,No,With Traffic,C: Possible Injury,Male,Greensboro,Guilford,No,Wednesday,Motorist Overtaking Bicyclist,15.0,July,Motorist Overtaking - Other / Unknown,2010,26.0,No,O: No Injury,Male,Pickup,No,36.07140443,-79.77795167,Dry,40 - 45  MPH,Stop And Go Signal,Clear,No,0,0,7
Yes,25.0,No,With Traffic,B: Suspected Minor Injury,Male,Asheville,Buncombe,No,Saturday,Motorist Overtaking Bicyclist,13.0,July,Motorist Overtaking - Misjudged Space,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.54601261,-82.60248987,Dry,40 - 45  MPH,No Control Present,Clear,No,1,0,7
Yes,35.0,No,With Traffic,B: Suspected Minor Injury,Male,Charlotte,Mecklenburg,No,Saturday,Motorist Left Turn / Merge,10.0,March,Motorist Left Turn - Opposite Direction,2009,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.21063,-80.83439,Dry,30 - 35  MPH,Stop Sign,Clear,No,1,0,3
No,24.0,No,Facing Traffic,O: No Injury,Male,Wilson,Wilson,No,Monday,Motorist Failed to Yield - Midblock,16.0,July,Motorist Drive Out - Other Midblock,2010,55.0,No,O: No Injury,Female,Passenger Car,No,35.76716624,-77.94484826,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
No,26.0,No,Not Applicable,B: Suspected Minor Injury,Female,Wilmington,New Hanover,No,Thursday,Non-Roadway,17.0,July,Non-Roadway,2010,25.0,No,O: No Injury,Male,Sport Utility,No,34.22579189,-77.87483382,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,7
Yes,18.0,No,Facing Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Sunday,Motorist Failed to Yield - Midblock,21.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,28.0,No,O: No Injury,Male,Passenger Car,No,35.20329417,-80.74335757,Wet,5 - 15 MPH,No Control Present,Rain,No,0,0,7
No,39.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wake,No,Tuesday,Motorist Right Turn / Merge,18.0,August,Motorist Right Turn - Same Direction,2010,58.0,No,O: No Injury,Female,Passenger Car,No,35.77520373,-78.91913631,Dry,40 - 45  MPH,Stop Sign,Clear,No,0,0,8
Yes,60.0,No,With Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Monday,Bicyclist Failed to Yield - Midblock,14.0,February,Bicyclist Ride Out - Other Midblock,2009,69.0,No,O: No Injury,Female,Passenger Car,No,35.26269,-80.85479,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,2
Yes,51.0,No,Facing Traffic,C: Possible Injury,Male,Goldsboro,Wayne,No,Friday,Motorist Left Turn / Merge,16.0,July,Motorist Left Turn - Same Direction,2010,21.0,No,O: No Injury,Male,Unknown,Yes,35.39925121,-77.99447579,Wet,30 - 35  MPH,No Control Present,Cloudy,No,0,0,7
Yes,14.0,No,Facing Traffic,C: Possible Injury,Male,High Point,Guilford,No,Thursday,Motorist Failed to Yield - Midblock,11.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,33.0,No,O: No Injury,Male,Unknown,Yes,35.93303277,-79.98962942,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,7
Yes,36.0,No,With Traffic,B: Suspected Minor Injury,Male,Greensboro,Guilford,No,Sunday,Motorist Left Turn / Merge,0.0,July,Motorist Left Turn - Opposite Direction,2010,29.0,No,O: No Injury,Female,Passenger Car,No,36.06352789,-79.84012017,Wet,30 - 35  MPH,No Control Present,Clear,No,0,0,7
Yes,66.0,No,With Traffic,C: Possible Injury,Male,Wilmington,New Hanover,No,Wednesday,Motorist Left Turn / Merge,17.0,July,Motorist Left Turn - Opposite Direction,2010,25.0,No,O: No Injury,Male,Passenger Car,No,34.23736942,-77.92318525,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,7
No,42.0,No,With Traffic,C: Possible Injury,Male,Kannapolis,Cabarrus,No,Friday,Motorist Overtaking Bicyclist,10.0,July,Motorist Overtaking - Other / Unknown,2010,20.0,No,O: No Injury,Female,Passenger Car,No,35.45458764,-80.61597724,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,7
Yes,52.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Wake,No,Thursday,Motorist Overtaking Bicyclist,20.0,August,Motorist Overtaking - Misjudged Space,2010,42.03850604944766,Unknown,Unknown Injury,Unknown,Sport Utility,Yes,35.58893414,-78.6413087,Wet,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Rain,No,1,0,8
No,41.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Wake,No,Thursday,Motorist Right Turn / Merge,18.0,August,Motorist Right Turn - Same Direction,2010,25.0,No,O: No Injury,Male,Passenger Car,Yes,35.73729384,-78.44435426,Dry,50 - 55  MPH,Stop Sign,Cloudy,No,0,0,8
Yes,47.0,No,With Traffic,C: Possible Injury,Male,Gastonia,Gaston,No,Tuesday,Crossing Paths - Other Circumstances,15.0,July,Signalized Intersection - Other / Unknown,2010,77.0,No,O: No Injury,Male,Passenger Car,No,35.26231902,-81.15390324,Dry,30 - 35  MPH,Stop And Go Signal,Clear,No,0,0,7
Yes,58.0,No,Facing Traffic,C: Possible Injury,Male,Greensboro,Guilford,No,Tuesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,12.0,July,Bicyclist Ride Through - Sign-Controlled Intersection,2010,21.0,No,C: Possible Injury,Male,Sport Utility,No,36.08858649,-79.77417889,Dry,30 - 35  MPH,Yield Sign,Clear,No,0,0,7
No,43.0,No,Facing Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Tuesday,Motorist Failed to Yield - Midblock,17.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,50.0,No,O: No Injury,Male,Van,No,35.26524335,-80.81657604,Wet,5 - 15 MPH,No Control Present,Cloudy,No,0,0,7
No,68.0,No,Facing Traffic,O: No Injury,Unknown,Rocky Mount,Nash,No,Wednesday,Motorist Right Turn / Merge,10.0,July,Motorist Right Turn - Opposite Direction,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.93271115,-77.81098125,Dry,5 - 15 MPH,No Control Present,Clear,No,1,0,7
Yes,46.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Davidson,No,Saturday,Motorist Failed to Yield - Midblock,11.0,August,Motorist Drive Out - Other Midblock,2010,19.0,No,O: No Injury,Female,Passenger Car,No,35.97599215,-80.25050289,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,8
Yes,31.0,No,With Traffic,B: Suspected Minor Injury,Male,None - Rural Crash,Davie,No,Thursday,Motorist Right Turn / Merge,8.0,July,Motorist Right Turn - Same Direction,2010,42.03850604944766,No,B: Suspected Minor Injury,Male,Sport Utility,No,35.97279197,-80.42564219,Dry,40 - 45  MPH,No Control Present,Clear,No,1,0,7
Yes,54.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Duplin,No,Thursday,Motorist Overtaking Bicyclist,23.0,August,Motorist Overtaking - Misjudged Space,2010,32.0,No,O: No Injury,Male,Pickup,No,34.85127023,-78.03152873,Dry,50 - 55  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,0,0,8
No,17.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Rocky Mount,Nash,No,Tuesday,Motorist Failed to Yield - Midblock,17.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Pickup,Yes,35.92953784,-77.81486215,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,7
Yes,51.0,No,With Traffic,B: Suspected Minor Injury,Male,Salisbury,Rowan,No,Sunday,Motorist Overtaking Bicyclist,22.0,August,Motorist Overtaking - Other / Unknown,2010,50.0,No,O: No Injury,Male,Pickup,No,35.64240974,-80.48072443,Dry,40 - 45  MPH,No Control Present,Clear,No,0,0,8
Yes,30.0,No,With Traffic,C: Possible Injury,Female,Raleigh,Wake,No,Tuesday,Other / Unusual Circumstances,20.0,July,Bicycle Only,2010,35.0,No,O: No Injury,Male,Pickup,No,35.78827715,-78.64207821,Dry,30 - 35  MPH,Stop And Go Signal,Cloudy,No,0,0,7
Yes,34.0,No,With Traffic,A: Suspected Serious Injury,Male,Clemmons,Forsyth,No,Friday,Loss of Control / Turning Error,10.0,July,Motorist Turning Error - Right Turn,2010,32.0,Unknown,O: No Injury,Female,Passenger Car,Yes,36.06964887,-80.41536993,Dry,40 - 45  MPH,Stop Sign,Clear,No,0,0,7
Yes,36.0,No,Facing Traffic,B: Suspected Minor Injury,Male,Raleigh,Wake,No,Wednesday,Motorist Failed to Yield - Sign-Controlled Intersection,9.0,July,Motorist Drive Out - Sign-Controlled Intersection,2010,62.0,No,O: No Injury,Female,Passenger Car,No,35.87335869,-78.68976384,Dry,30 - 35  MPH,Stop Sign,Clear,No,0,0,7
Yes,53.0,No,Facing Traffic,C: Possible Injury,Male,Charlotte,Mecklenburg,No,Friday,Motorist Failed to Yield - Midblock,19.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,48.0,No,O: No Injury,Male,Van,No,35.2997035,-80.80102576,Dry,30 - 35  MPH,No Control Present,Clear,No,0,0,7
Yes,21.0,No,With Traffic,C: Possible Injury,Female,Raleigh,Wake,No,Tuesday,Motorist Failed to Yield - Midblock,17.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.77887204,-78.63811809,Dry,5 - 15 MPH,No Control Present,Clear,No,1,0,7
Yes,43.0,No,With Traffic,O: No Injury,Male,Raleigh,Wake,No,Tuesday,Motorist Failed to Yield - Midblock,13.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,20.0,No,O: No Injury,Male,"Light Truck (Mini-Van, Panel)",No,35.78497282,-78.65992144,Dry,5 - 15 MPH,No Control Present,Clear,No,0,0,7
No,34.0,No,With Traffic,C: Possible Injury,Male,None - Rural Crash,Rowan,No,Saturday,Motorist Right Turn / Merge,8.0,July,Motorist Right Turn - Same Direction,2010,29.0,No,O: No Injury,Male,Passenger Car,No,35.54722439,-80.70180856,Dry,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Clear,No,0,0,7
No,33.0,No,With Traffic,O: No Injury,Male,Davidson,Mecklenburg,No,Friday,Motorist Right Turn / Merge,9.0,June,Motorist Right Turn - Same Direction,2010,62.0,No,O: No Injury,Female,Sport Utility,No,35.49817921,-80.84889751,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,6
No,12.0,No,Facing Traffic,C: Possible Injury,Male,Fuquay-Varina,Wake,No,Friday,Motorist Failed to Yield - Midblock,15.0,July,Motorist Drive Out - Commercial Driveway / Alley,2010,42.03850604944766,Missing,Unknown Injury,Unknown,Unknown,Yes,35.58612574,-78.78209983,Dry,30 - 35  MPH,No Control Present,Clear,No,1,0,7
Yes,42.0,No,With Traffic,C: Possible Injury,Male,Greenville,Pitt,No,Thursday,Motorist Left Turn / Merge,19.0,April,Motorist Left Turn - Opposite Direction,2010,24.0,No,O: No Injury,Male,Sport Utility,No,35.60936536,-77.36686721,Dry,20 - 25  MPH,No Control Present,Clear,No,0,0,4
